name, age, height, weight, reach, gym
Cain_Velasquez,36,6.0,248,77,American Kickboxing Academy
Fabricio_Werdum,41,6.4,249,77,Kings MMA
Junior_dos_Santos,35,6.4,248,77,American Top Team
Todd_Duffee,33,6.3,241,79,American Top Team
Ben_Rothwell,37,6.4,265,78,Rothwell MMA
Daniel_Cormier,40,5.11,258,72,American Kickboxing Academy
Marcos_Rogerio_de_Lima,34,6.2,253,75,011 MMA Team
Aleksei_Oleinik,42,6.2,235,80,K-Dojo Warrior Tribe (current)
Shamil_Abdurakhimov,37,6.3,256,76,Fighting Eagle
Francis_Ngannou,32,6.4,265,83,MMA Factory Paris
Curtis_Blaydes,28,6.4,260,80,Elevation Fight Team
Marcin_Tybura,33,6.3,247,78,Jackson-Wink MMA
Daniel_Spitz,28,6.7,244,82,Sikjitsu
Junior_Albini,28,6.3,266,74,Astra Fight Team
Blagoy_Ivanov,32,1.8,254,73,Combat Sambo - Bulgaria
Juan_Adams,27,6.5,265,81,Paradigm Training
Mauricio_Rua,37,6.1,205,76,Universidade Da Luta
Luke_Rockhold,34,6.3,205,77,American Kickboxing Academy
Jon_Jones,32,6.4,205,84,Jackson Wink MMA Academy
Antonio_Rogerio_Nogueira,43,6.2,205,75,Team Nogueira 
Ovince_Saint_Preux,36,6.0,205,80,Knoxville Martial Arts Academy
Gian_Villante,33,6.3,205,76,Bellmore Kickboxing Academy
Glover_Teixeira,39,6.2,205,76,The Pit
Ilir_Latifi,35,5.8,205,73,Allstars Training Center 
Nikita_Krylov,27,6.3,205,77,Vale Tudo MMA Academy 
Sam_Alvey,33,6.2,206,75,Team Quest
Misha_Cirkunov,32,6.3,205,77,Xtreme Couture
Ion_Cutelaba,25,6.1,205,75,Timoshkov Sport Club
Khalil_Rountree,29,6.1,204,76,Tiger Muay Thai
Justin_Ledet,30,6.4,204,80,Gracie Barra Texas
Gadzhimurad_Antigulov,32,5.11,205,70,Gorets
Saparbek_Safarov,32,6.1,205,78,Legion Fight Team
Volkan_Oezdemir,29,6.2,205,75,Combat Club 
Dominick_Reyes,29,6.4,205,77,Cage Combat Academy VV Ca
Eryk_Anders,32,6.1,185,75,Spartan Fitness
Gokhan_Saki,35,6.0,205,73,Mike's Gym (2012–present) 
Magomed_Ankalaev,27,188.0,205,75,Gorets (currently) 
Jimmy_Crute,23,6.2,205,72,Stewie's House of BJJ
Anderson_Silva,44,6.2,185,77,Chute Boxe Academy
CB_Dollaway,35,6.2,205,76,Power MMA And Fitness
Ronaldo_Souza,39,6.1,186,72,Fusion X-Cel Performance
Tim_Boetsch,38,6.0,186,74,Barbarian Combat Sports
Brad_Tavares,31,6.1,185,74,Extreme Couture  / MMA Fitness Dubai
Chris_Weidman,35,6.2,185,78,Serra-Longo Fight Team
Derek_Brunson,35,6.1,185,77,Hard Knocks 365 (2019–
Yoel_Romero,42,5.1,185,73,American Top Team
Marcelo_Guimaraes,36,6.0,171,73,X-Gym
Hector_Lombard,41,5.9,185,71,American Top Team
Cezar_Ferreira,34,6.1,184,78,Jaco Hybrid Training Center
Uriah_Hall,34,6.0,185,79,Extreme Couture
Antonio_Braga_Neto,31,6.3,185,77,Gracie Morumbi
Kelvin_Gastelum,27,5.9,185,71,Kings MMA
Zak_Cummings,34,6.0,170,74,Glory MMA and Fitness
Omari_Akhmedov,31,1.83,185,73,Jackson Wink MMA Academy
Antonio_Carlos_Junior,29,6.1,185,79,American Top Team
Jared_Cannonier,35,5.11,185,77,Legacy Jiu Jitsu Alaska
Alessio_Di_Chirico,29,6.0,185,74,GLORIA Fight Center 
Andrew_Sanchez,31,6.1,185,73,Finney's HIT Squad
Marvin_Vettori,25,6.0,185,74,Stabile Fight Team (Italy)
Jack_Hermansson,31,6.1,185,77,Frontline Academy
Jack_Marshman,29,6.0,186,73,Tillery Combat MMA Academy
Gerald_Meerschaert,31,6.1,185,77,Roufusport
Trevin_Giles,26,6.0,185,74,Texas Elite MMA
Karl_Roberson,28,1.85,184,74,Killer B Combat Sports Academy
Markus_Perez,29,6.2,185,73,Viscardi Andrade Team 
Israel_Adesanya,29,193.0,185,203,City Kickboxing
Oskar_Piechota,29,6.0,183,76,Piranha Grappling Team/Mighty Bulls Gdynia
Edmen_Shahbazyan,21,6.2,185,74,Glendale Fighting Club
Diego_Sanchez,37,5.1,170,72,Jackson Wink MMA Academy
Demian_Maia,41,6.1,170,72,Demian Maia Jiu-Jitsu
Dong_Hyun_Kim,37,6.0,170,76,Busan Team MAD
Rafael_dos_Anjos,34,5.8,170,70,Evolve MMA
Anthony_Pettis,32,5.1,170,72,Roufusport
Peter_Sobotta,32,6.0,170,75,Planet Eater
Tyron_Woodley,37,5.9,170,74,Roufusport
Tarec_Saffiedine,32,5.1,170,70,Tristar Gym
Court_McGee,34,5.11,170,76,The Pit Elevated
Jordan_Mein,29,6.0,170,73,Canadian Martial Arts Centre
Tim_Means,35,6.2,171,75,Power MMA 
Siyar_Bahadurzada,35,5.11,186,72,Golden Glory
Michael_Chiesa,31,6.1,170,75,Sik Jitsu Fighting Systems
Sergio_Moraes,36,5.11,170,73,Evolução Thai
Neil_Magny,31,6.3,170,80,Elevation Fight Team and Easton Training Center
Michel_Prazeres,37,5.6,170,69,Frankiko Team / Trator Team
Santiago_Ponzinibbio,32,6.0,170,73,American Top Team
Anthony_Rocco_Martin,29,6.0,170,73,Team Sityodtong
Sean_Strickland,28,6.1,170,76,Millennia MMA Gym
Chad_Laprise,32,5.1,170,71,Adrenaline Training Center 
Nordine_Taleb,38,6.1,170,74,Tiger Muay Thai
Warlley_Alves,28,5.11,170,72,X-Gym
Dhiego_Lima,30,6.2,170,75,American Top Team
Alan_Jouban,37,6.0,171,74,Black House
Colby_Covington,31,5.11,169,72,American Top Team
Alberto_Mina,37,6.0,170,77,Epic MMA (formerly) 
Leon_Edwards,27,6.2,170,74,Team Renegade BJJ & MMA Ultimate Training Centre 
Bryan_Barberena,30,6.0,170,72,MMA Lab (formerly) 
Darren_Till,26,6.0,170,74,Astra Fight Team (
Kamaru_Usman,32,6.0,170,76,Hard Knocks 365
Vicente_Luque,27,5.11,170,75,Cerrado MMA Hard Knocks 365
Lyman_Good,34,6.0,170,74,Team Tiger Schulmann
Nathan_Coy,40,5.1,170,71,American Top Team
Alex_Morono,28,5.11,170,73,Gracie Barra Woodlands
Mickey_Gall,27,6.2,170,74,Gracie New Jersey Academy
Luan_Chagas,26,5.11,168,75,Gile Ribeiro Team
Zak_Ottow,32,5.11,170,72,Pura Vida BJJ
Emil_Weber_Meek,30,5.11,170,74,Frontline Academy 
Niko_Price,29,6.0,170,76,Futures MMA
Luke_Jumeau,31,5.11,170,72,Phuket Top Team
Kenan_Song,29,6.0,170,71,MY Fighting Academy
Curtis_Millender,31,6.2,171,76,NOC Fight Team
Geoff_Neal,28,5.11,170,75,Fortis MMA
Ricky_Rainey,36,6.1,170,75,Gym-O
_Carlo_Pedersoli_Jr.,26,5.11,170,75,Gloria Fight Center
Chance_Rencountre,32,6.2,170,74,Aliiance MMA
Dwight_Grant,34,6.1,170,78,American Kickboxing Academy
Ben_Askren,35,5.11,170,72,Roufusport
Derrick_Krantz,31,5.1,170,72,Team 515
B.J._Penn,40,5.9,145,70,B.J. Penn's MMA 
Nate_Diaz,34,6.0,170,76,Cesar Gracie Jiu-Jitsu
Clay_Guida,37,5.7,155,70,Team Alpha Male
Joe_Lauzon,35,5.1,155,71,Lauzon MMA
Donald_Cerrone,36,6.1,156,73,Inyodo Martial Arts Club (2006–?)
Dong_Hyun_Ma,30,5.11,155,70,Busan Team M.A.D.
Nik_Lentz,34,5.8,155,68,Minnesota Martial Arts Academy
Erik_Koch,30,5.1,155,71,Roufusport
Charles_Oliveira,29,5.1,155,74,Chute Boxe Diego Lima (2018-
Dustin_Poirier,30,5.9,155,72,American Top Team
Edson_Barboza,33,5.11,155,75,Ricardo Almeida BJJ
John_Makdessi,34,5.8,155,68,Roufusport (2018-)
Tony_Ferguson,35,5.11,155,76,10th Planet Jiu-Jitsu
Khabib_Nurmagomedov,30,5.1,155,70,American Kickboxing Academy
Al_Iaquinta,32,5.1,155,70,Serra-Longo Fight Team
Francisco_Trinaldo,40,5.9,155,70,Evolução Thai
Jon_Tuck,34,5.11,156,73,Kings MMA
Rustam_Khabilov,32,1.73,155,73,Champion MMA
James_Vick,32,6.3,155,76,Team Lloyd Irvin
Mairbek_Taisumov,30,5.9,155,73,Tiger Muay Thai 
Beneil_Dariush,30,5.1,156,72,Kings MMA
Olivier_Aubin-Mercier,30,5.9,155,70,H2O MMA
Carlos_Diego_Ferreira,34,5.9,156,74,Team Ferreira 
Paul_Felder,35,5.11,155,70,Roufusport
Gregor_Gillespie,32,5.9,155,71,Long Island MMA
Teemu_Packalen,32,6.1,154,72,Primus Fight Team
Magomed_Mustafaev,30,5.1,156,71,Sochi Star Club
Scott_Holtzman,35,5.9,156,70,Shield Systems / MMA Lab
David_Teymur,30,5.9,155,73,Allstars Training Center 
Thibault_Gouti,32,5.1,155,72,Jacksonwink MMA Academie
Damir_Hadzovic,32,5.11,154,70,Arte Suave Copenhagen
Darrell_Horcher,31,5.1,155,72,Unrivaled Athletics
Polo_Reyes,34,5.11,154,71,Entram Gym
Marc_Diakiese,26,5.1,154,75,American Top Team
Devin_Powell,31,6.0,155,74,Port City BJJ
Drakkar_Klose,31,5.8,155,70,MMA Lab (formerly) 
Davi_Ramos,32,5.6,155,72,Team Nogueira
Desmond_Green,29,5.0,155,73,Tristar
Jared_Gordon,30,5.9,148,68,Church Street Boxing Gym 
Justin_Gaethje,30,5.11,155,71,Genesis Training Center 
Frank_Camacho,30,5.1,159,73,Steel Athletics 
Matt_Frevola,29,5.9,155,71,Serra-Longo Fight Team
Alexander_Hernandez,26,5.9,155,72,Ohana Academy
Christos_Giagos,29,5.1,155,71,Systems Training Center
Gilbert_Melendez,37,5.9,155,73,Cesar Gracie Jiu-Jitsu
Frankie_Edgar,37,5.6,145,68,Ricardo Almeida BJJ
Cub_Swanson,35,5.7,145,70,Jackson Wink MMA
Jeremy_Stephens,33,5.0,145,71,Alliance MMA
Jose_Aldo,32,5.7,145,70,Nova União
Ricardo_Lamas,37,5.8,145,71,Alpha Phi Chupapi
Darren_Elkins,35,5.1,145,71,Duneland Vale Tudo 
Chan_Sung_Jung,32,5.9,145,72,Korean Zombie MMA
Alex_Caceres,31,5.1,145,73,MMA Lab
Max_Holloway,27,5.11,155,69,Gracie Technics
Andre_Fili,29,5.11,145,74,Team Alpha Male
Zubaira_Tukhugov,28,5.8,146,72,American Kickboxing Academy
Mirsad_Bektic,28,5.8,145,70,Tristar Gym
Chas_Skelly,34,5.11,146,73,Team Takedown
Charles_Rosa,32,5.9,145,69,American Top Team
Yair_Rodriguez,26,5.0,145,71,Huntington Beach Ultimate Training Center
Doo_Ho_Choi,28,5.1,145,70,Busan Team M.A.D
Renato_Moicano,30,5.11,146,72,Constrictor Team 
Makwan_Amirkhani,30,5.1,146,72,SBG Ireland
Enrique_Barzola,30,5.7,143,70,American Top Team
Josh_Emmett,34,5.0,146,70,Team Alpha Male
Rick_Glenn,30,6.0,154,70,Team Alpha Male
Alexander_Volkanovski,30,5.6,145,71,Freestyle Fighting Gym 
Shane_Burgos,28,5.11,146,75,Tiger Schulmann
Gavin_Tucker,33,5.7,145,66,Titans MMA
Danny_Henry,30,5.11,145,73,Higher Level Martial Arts
Zabit_Magomedsharipov,28,6.0,145,73,DagFighter 
Julio_Arce,29,5.7,145,70,Team Tiger Schulmann
Austin_Arnett,27,6.0,145,72,Martial Arts America and  Sik-Jitsu Fighting Systems 
Steven_Peterson,29,5.9,145,70,Fortis MMA
Michael_Trizano,27,5.11,145,73,Team Tiger Schulmann
Nad_Narimani,32,5.08,145,70,Team Alpha Male
Kevin_Aguilar,30,5.7,145,72,Longview MMA 
Kron_Gracie,31,5.9,145,70,"Kron Gracie Jiu-Jitsu
"
Urijah_Faber,40,5.4,135,67,Team Alpha Male
Eddie_Wineland,35,5.8,135,69,New Breed Academy Chicago
Rani_Yahya,34,5.6,145,68,American Top Team
Dominick_Cruz,34,5.8,135,68,Alliance MMA
Raphael_Assuncao,36,5.0,135,66,Ascension Mixed Martial Arts
Renan_Barao,32,5.6,135,70,American Top Team
Iuri_Alcantara,38,5.9,135,71,Marajó Brothers Team
Johnny_Eduardo,40,5.8,135,71,Nova União
Mitch_Gagnon,34,5.5,135,65,Troop MMA
Kang_Kyung-ho,31,5.9,135,72,Busan Team M.A.D.
Sergio_Pettis,25,5.6,125,69,Roufusport
Davey_Grant,33,5.8,134,69,North East Top Team
Douglas_Silva_de_Andrade,34,5.7,134,68,Corinthians MMA / Nabruta Fight Team
Aljamain_Sterling,29,5.7,135,71,Serra-Longo Fight Team
Pedro_Munhoz,32,5.6,135,65,Kings MMA (formerly)
Ray_Borg,25,5.4,125,63,Jackson Wink MMA Academy
Louis_Smolka,27,5.9,135,69,Hawaii Elite MMA Gracie Technics 
Rob_Font,32,5.8,135,71,Team Sityodtong 
Frankie_Saenz,38,5.6,135,66,Fight Ready MMA
Thomas_Almeida,27,5.7,135,70,Chute Boxe Academy
Henry_Briones,38,5.7,134,69,Entram Gym
Guido_Cannetti,39,5.6,135,68,Team Alpha Male
Jose_Alberto_Quinonez,28,5.8,134,69,""" La academia “Delincuentes MMA”"
Henry_Cejudo,32,5.4,135,64,Fight Ready
Cody_Garbrandt,28,5.8,136,65,Team Alpha Male
Jimmie_Rivera,30,5.4,135,68,Team 
Luke_Sanders,33,5.7,135,71,The MMA Lab
Matthew_Lopez,32,5.7,134,69,Genesis Training Centre
Kwan_Ho_Kwak,30,5.7,135,70,Korean Top Team
Aiemann_Zahabi,31,5.8,135,69,Tristar Gym
Andre_Soukhamthath,30,5.9,135,72,American Top Team
Brian_Kelleher,32,5.6,135,66,Team Bombsquad
Marlon_Moraes,31,5.6,135,67,Ricardo Almeida BJJ
Cody_Stamann,29,5.7,136,64,Michigan Top Team
Cory_Sandhagen,27,5.11,135,71,Elevation Fight Team
Yadong_Song,21,5.8,135,67,Team Alpha Male 
Brandon_Davis,29,5.1,146,72,Alan Belcher MMA Club
Manny_Bermudez,24,5.1,135,64,South Shore Sportfighting
Ricky_Simon,26,5.6,136,69,Gracie Barra Portland
Petr_Yan,26,5.0,135,67,Tiger Muay Thai
Pingyuan_Liu,26,5.6,135,70,Enbo Gedou
Montel_Jackson,27,5.1,135,75,Red Schafer MMA
Joseph_Benavidez,34,5.4,125,65,Elevation Fight Team
Tim_Elliott,32,5.7,125,67,Glory MMA and Fitness
Jussier_Formiga,34,5.5,125,67,Nova União
Henry_Cejudo,32,5.4,135,64,Fight Ready
Alexandre_Pantoja,29,5.5,125,68,Black House
Deiveson__Figueiredo,31,5.5,123,68,Marajó Brothers (formerly) 
Cat_Zingano,37,5.6,135,68,Black House (MMA)
Amanda_Nunes,31,5.8,135,69,AMA Fight Club
Holly_Holm,37,5.8,144,70,Jackson Wink MMA Academy
Germaine_de_Randamie,35,5.9,143,71,CSA Holland
Sara_McMann,38,5.6,135,66,Revolution MMA
Amanda_Nunes,31,5.8,135,69,AMA Fight Club
Raquel_Pennington,30,5.7,135,67,Triple Threat Gym
Julianna_Pena,29,5.7,135,69,SikJitsu Luiz Claudio Combat Team (LCCT)
Bethe_Correia,36,5.5,135,64,Pitbull Brothers MMA
Marion_Reneau,42,5.6,135,68,Elite Team
Holly_Holm,37,5.8,144,70,Jackson Wink MMA Academy
Lina_Lansberg,37,5.7,135,65,Dirty South MMA 
Irene_Aldana,31,5.8,135,68,Lobo Gym
Gina_Mazany,30,5.6,134,68,Xtreme Couture
Tonya_Evinger,38,5.7,135,70,Gracie Barra Champions
Talita_Bernardo,32,5.4,135,68,Imperio Fight
Aspen_Ladd,24,5.6,135,66,MMAGOLD (2012–
Yana_Kunitskaya,29,5.8,135,68,Jackson Wink MMA Academy
Pannie_Kianzad,27,5.7,135,68,Arte Suave
Macy_Chiasson,27,5.9,135,72,Triump Krav Maga
Julia_Avila,31,5.7,135,67,All Powers Fitness and Fighting
Liz_Carmouche,35,5.6,135,66,Team Hurricane Awesome
Jessica_Eye,32,5.6,125,66,Strong Style Fight Team
Roxanne_Modafferi,36,5.7,125,69,Syndicate MMA
Joanna_Jedrzejczyk,31,5.6,125,65,American Top Team
Paige_VanZant,25,5.4,125,65,Team Quest
Maryna_Moroz,27,5.7,115,67,YK Promotion 
Justine_Kish,31,5.5,115,64,Black House MMA
Katlyn_Chookagian,30,5.9,125,68,Renzo Gracie Combat Team
JJ_Aldrich,26,5.5,115,64,303 Training Center
Joanne_Calderwood,32,5.6,125,66,Dinky Ninjas Fight Team 
Veronica_Macedo,23,5.3,125,64,MMA Factory Paris
Lucie_Pudilova,25,5.8,135,67,KBC Příbram-MMA
Ji_Yeon_Kim,29,5.7,125,72,Impact Gym 
Mara_Romero_Borella,33,5.6,125,69,American Top Team
Kalindra_Faria,32,5.5,125,62,Vale Top Team
Poliana_Botelho,30,5.8,115,67,Nova União
Gillian_Robertson,24,5.5,125,65,American Top Team
Antonina_Shevchenko,34,5.8,135,68,Tiger Muay Thai
Jessica_Andrade,27,5.2,115,62,Paraná Vale Tudo
Joanna_Jedrzejczyk,31,5.6,125,65,American Top Team
Nina_Ansaroff,33,5.5,115,64,American Top Team
Rose_Namajunas,27,5.5,115,65,303 Training Center
Jessica_Penne,36,5.5,115,67,Alliance MMA 
Randa_Markos,33,5.4,115,63,Tristar Gym
Felice_Herrig,34,5.4,115,65,Team Curran
Tecia_Torres,29,5.1,115,61,American Top Team
Alex_Chambers,40,5.3,115,63,VT1 Mixed Martial Arts Academy
Aleksandra_Albu,28,5.3,115,62,MMA–KEGI
Karolina_Kowalkiewicz,33,5.3,115,64,Shark Top Team Łódź
Tatiana_Suarez,28,5.5,115,64,Millennia MMA Gym
Ashley_Yoder,31,5.7,115,69,Team Quest
Cynthia_Calvillo,32,5.4,115,64,Team Alpha Male
Xiaonan_Yan,30,5.5,115,63,China Top Team
Brianna_Van_Buren,25,4.11,115,62,American Kickboxing Academy
